"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AZUL","AZU - 2737",2
"Domestic","AZUL","AZU - 2738",22
"Domestic","AZUL","AZU - 2739",25
"Domestic","AZUL","AZU - 2741",3
"Domestic","AZUL","AZU - 2744",7
"Domestic","AZUL","AZU - 2745",1
"Domestic","AZUL","AZU - 2746",2
"Domestic","AZUL","AZU - 2747",9
"Domestic","AZUL","AZU - 2748",3
"Domestic","AZUL","AZU - 2749",6
"Domestic","AZUL","AZU - 2750",7
"Domestic","AZUL","AZU - 2751",6
"Domestic","AZUL","AZU - 2752",1
"Domestic","AZUL","AZU - 2753",9
"Domestic","AZUL","AZU - 2754",7
"Domestic","AZUL","AZU - 2755",7
"Domestic","AZUL","AZU - 2756",2
"Domestic","AZUL","AZU - 2757",2
"Domestic","AZUL","AZU - 2758",4
"Domestic","AZUL","AZU - 2759",8
"Domestic","AZUL","AZU - 2760",119
"Domestic","AZUL","AZU - 2761",103
"Domestic","AZUL","AZU - 2766",70
"Domestic","AZUL","AZU - 2767",67
"Domestic","AZUL","AZU - 2770",78
"Domestic","AZUL","AZU - 2771",91
"Domestic","AZUL","AZU - 2774",21
"Domestic","AZUL","AZU - 2775",22
"Domestic","AZUL","AZU - 2783",2
"Domestic","AZUL","AZU - 2784",2
"Domestic","AZUL","AZU - 2788",66
"Domestic","AZUL","AZU - 2789",67
"Domestic","AZUL","AZU - 2792",11
"Domestic","AZUL","AZU - 2793",12
"Domestic","AZUL","AZU - 2802",5
"Domestic","AZUL","AZU - 2803",3
"Domestic","AZUL","AZU - 2804",14
"Domestic","AZUL","AZU - 2805",7
"Domestic","AZUL","AZU - 2808",8
"Domestic","AZUL","AZU - 2809",8
"Domestic","AZUL","AZU - 2816",6
"Domestic","AZUL","AZU - 2817",6
"Domestic","AZUL","AZU - 2818",28
"Domestic","AZUL","AZU - 2819",28
"Domestic","AZUL","AZU - 2822",17
"Domestic","AZUL","AZU - 2823",32
"Domestic","AZUL","AZU - 2829",1
"Domestic","AZUL","AZU - 2834",23
"Domestic","AZUL","AZU - 2835",24
"Domestic","AZUL","AZU - 2840",95
"Domestic","AZUL","AZU - 2841",28
"Domestic","AZUL","AZU - 2842",9
"Domestic","AZUL","AZU - 2843",9
"Domestic","AZUL","AZU - 2844",4
"Domestic","AZUL","AZU - 2845",16
"Domestic","AZUL","AZU - 2847",5
"Domestic","AZUL","AZU - 2855",10
"Domestic","AZUL","AZU - 2857",1
"Domestic","AZUL","AZU - 2858",155
"Domestic","AZUL","AZU - 2859",149
"Domestic","AZUL","AZU - 2866",1
"Domestic","AZUL","AZU - 2872",113
"Domestic","AZUL","AZU - 2875",3
"Domestic","AZUL","AZU - 2878",1
"Domestic","AZUL","AZU - 2879",3
"Domestic","AZUL","AZU - 2884",6
"Domestic","AZUL","AZU - 2885",6
"Domestic","AZUL","AZU - 2888",5
"Domestic","AZUL","AZU - 2889",11
"Domestic","AZUL","AZU - 2890",21
"Domestic","AZUL","AZU - 2891",14
"Domestic","AZUL","AZU - 2895",5
"Domestic","AZUL","AZU - 2896",2
